ID_CONVOCATORIA,NME_CONVOCATORIA,ANO_CONVO,ID_PRODUCTO_PD,NME_CLASE_PD,NME_TIPO_MEDICION_PD,NME_TIPOLOGIA_PD,ID_TIPO_PD_MED,NME_CATEGORIA_PD,FCREACION_PD,NME_PRODUCTO_PD,COD_GRUPO_GR,NME_GRUPO_GR,ID_PERSONA_PD,year
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0001280619-30,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,06/01/2009,Array-CGH Reveals Recurrent Genomic Changes in Merkel Cell Carcinoma Including Amplification of L-Myc,COL0019499,Dermatología,0001280619,2009
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000298689-112,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,06/01/2014,Reproducción del camarón rosado Farfantepenaeus notialis (Decapoda: Penaeidae) en el Caribe colombiano,COL0036446,CIENCIA Y TECNOLOGÍA PESQUERA TROPICAL  (CITEPT),0000298689,2014
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000458015-6,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,09/01/2007,THE LARVAE OF TEINOPODAGRION CAQUETANUM DE MARMELS AND T. VALLENATUM DE MARMELS (ZYGOPTERA: MEGAPODAGRIONIDAE),COL0025569,BIODIVERSIDAD DEL CARIBE COLOMBIANO,0000458015,2007
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0001125966-18,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,01/03/2009,Characterization of productive system of tomato (Solanum lycopersicum L.) in producing zones of Colombia,COL0011779,HORTICULTURA,0001125966,2009
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0001473491-29,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,07/01/2014,El trato especial y diferenciado en el sistema de solución de diferencias de la OMC como oportunidad para el ejercicio del derecho al desarrollo,COL0104429,Grupo de Investigación en Derecho Internacional,0001473491,2014
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000284793-64,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/01/2013,Determinantes de los Planes Estratégicos de los Sistemas de Información en las Pymes colombianas: caso Santiago de Cali - Colombia,COL0007391,Grupo Humanismo y Gestión,0000284793,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000026948-20904,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/01/2012,A Review of DAN2 (Dynamic Architecture for Artificial Neural Networks) Model in Time Series Forecasting,COL0043351,Big Data y Data Analytics,0000026948,2012
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000173410-43,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/09/2015,Revisión de enfoques académicos en salud global: un marco analítico,COL0007014,Gestión y políticas de salud,0000173410,2015
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000423351-72,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,10/01/2009,"Diseño y aplicación de una unidad didáctica para la enseñanza aprendizaje del concepto de disoluciones, apoyada en un simulador de cultivos hidropónicos",COL0076666,GREECE,0000000000,2009
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0001182358-19,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/07/2015,Hallazgos nefro-urológicos postnatales de pacientes con diagnóstico prenatal de hidronefrosis evaluados en un hospital de cuarto nivel de complejidad,COL0058784,Grupo de Investigación Clínica en Enfermedades del Niño y del Adolescente - Pediaciencias,0001182358,2015
